"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1994:Q3","Next9",34.3,31.7,26.8,21.2,36.2,38.6,31.3,32.4,16.1,18.4,7.1,24.3
"1994:Q3","Next40",35.5,36.9,47.9,41.6,15.9,48.3,18.1,30.2,45.5,49.4,36.5,26.7
"1994:Q3","Bottom50",3.9,8.1,14.3,23.3,1.6,4.3,1.8,5.5,33.7,27.5,55,28.3
"1994:Q4","Top1",26.6,23.5,11.3,13.8,47,8.5,48.6,32.7,4.6,4.7,1.5,19.3
"1994:Q4","Next9",34.3,31.7,26.2,21.2,36,39.3,31.8,32,15.8,18.3,6.4,25
"1994:Q4","Next40",35.4,36.8,48.6,41.5,15.5,47.9,17.8,29.8,44.9,48.4,38,26.6
"1994:Q4","Bottom50",3.6,8.1,13.9,23.5,1.6,4.3,1.9,5.5,34.6,28.7,54.1,29.1
"1995:Q1","Top1",27.2,24,11.1,14.1,48.4,8.7,49.8,32.9,4.7,4.8,1.2,19.7
"1995:Q1","Next9",34.1,31.4,26.1,20.6,35.2,39.1,31.4,31.8,15.4,17.8,6.7,21.2
"1995:Q1","Next40",35.1,36.5,48.6,41.3,14.9,47.7,17,29.7,44.8,48.5,36.8,27.1
"1995:Q1","Bottom50",3.7,8.1,14.2,23.9,1.5,4.4,1.9,5.6,35.1,28.9,55.2,32
"1995:Q2","Top1",27.6,24.4,10.4,14.3,49.5,8.8,51.6,33.4,4.6,4.8,1.2,19.3
"1995:Q2","Next9",33.7,31,25.9,20.4,34.4,39,30.1,31.2,15.2,17.7,6.7,18.9
"1995:Q2","Next40",34.9,36.1,48.1,41.3,14.6,47.7,16.4,29.7,43.6,46.8,37,27.5
"1995:Q2","Bottom50",3.8,8.5,15.6,24.1,1.5,4.5,1.9,5.6,36.6,30.7,55.1,34.2
"1995:Q3","Top1",28.4,25,9.8,14.4,50.7,8.8,54,34.3,4.5,4.8,1.1,17.7
"1995:Q3","Next9",33.2,30.6,25.9,20.2,33.4,38.8,28.4,30.8,15.1,17.6,6.7,19.8
"1995:Q3","Next40",34.6,35.7,47.6,41.2,14.3,47.8,15.9,29.2,42.3,45,37.5,27.6
"1995:Q3","Bottom50",3.8,8.7,16.7,24.2,1.6,4.5,1.7,5.6,38,32.6,54.8,34.9
"1995:Q4","Top1",28.3,25,10,14.3,49.9,9,52.8,34,4.8,5,1.2,19.8
"1995:Q4","Next9",33.4,30.8,26,20.4,34,38.5,29.5,30.8,14.9,17.6,6.7,18.5
"1995:Q4","Next40",34.2,35.6,47.4,41.4,14.6,48,16,29.6,44.1,47.2,38.6,28.5
"1995:Q4","Bottom50",4,8.6,16.6,24,1.5,4.6,1.8,5.5,36.2,30.3,53.5,33.1
"1996:Q1","Top1",28.1,24.8,10.1,14.1,49,9.1,52,33.8,4.9,5.1,1.2,19.3
"1996:Q1","Next9",33.6,31.1,26.3,20.5,34.4,38.2,30.1,31.1,15.3,17.5,7.2,25
"1996:Q1","Next40",34,35.6,47,41.5,15.1,48.1,16.2,29.6,45.4,49.4,37.5,27.8
"1996:Q1","Bottom50",4.3,8.5,16.6,23.9,1.5,4.5,1.8,5.4,34.4,28,54.1,28
"1996:Q2","Top1",27.9,24.7,10.5,13.8,48.4,9.1,50.8,33.4,5,5.1,1.3,20.6
"1996:Q2","Next9",33.8,31.2,25.9,20.9,34.7,38.2,30.9,31.4,15.7,17.9,7.3,24.8
"1996:Q2","Next40",34.2,35.8,47.5,41.7,15.4,48.1,16.4,29.8,45.4,49.2,37.8,28.5
"1996:Q2","Bottom50",4.1,8.3,16.1,23.6,1.5,4.5,1.9,5.4,34,27.7,53.6,26
"1996:Q3","Top1",27.6,24.4,10.8,13.5,47.6,9.2,49.5,33.1,5,5.1,1.4,22
"1996:Q3","Next9",33.9,31.3,25.8,21.3,35,38.2,31.8,31.3,15.9,18.3,7.4,24.6
"1996:Q3","Next40",34.5,36.1,47.8,41.8,15.9,48.1,16.7,30.3,45.4,49.2,38,29.2
"1996:Q3","Bottom50",4,8.2,15.7,23.4,1.5,4.5,2,5.3,33.6,27.4,53.2,24.2
"1996:Q4","Top1",27.7,24.5,10.9,13.6,47.3,9.6,49.4,32.7,5.1,5.2,1.4,22.8
"1996:Q4","Next9",34,31.4,26.2,21.1,35.1,37.6,32.1,31.6,15.9,18.1,7.6,26.2
"1996:Q4","Next40",34.2,36,47.5,41.9,16.1,48.2,16.5,30.5,46.9,51.2,38.4,29.3
"1996:Q4","Bottom50",4.1,8.1,15.4,23.3,1.5,4.6,2,5.3,32.2,25.6,52.6,21.7
"1997:Q1","Top1",27.4,24.2,10.9,13.3,46.8,9.6,48.9,32.2,5.2,5.2,1.3,23.2
"1997:Q1","Next9",34.2,31.6,26.5,21.4,35.3,37.7,32.5,31.7,16.2,18.2,8,27
"1997:Q1","Next40",34.2,36.1,47.3,42,16.5,48.2,16.5,30.8,47.1,51.9,37.1,30.1
"1997:Q1","Bottom50",4.2,8.1,15.3,23.2,1.5,4.6,2,5.3,31.5,24.7,53.6,19.8
"1997:Q2","Top1",27.9,24.7,11,13.7,47.8,9.9,49.9,30.9,5.1,5.2,1,23
"1997:Q2","Next9",34.1,31.7,26.4,20.9,34.9,37.6,32.4,32.2,16.7,18.5,8.9,28.7
"1997:Q2","Next40",33.9,35.7,47.3,42.2,15.9,47.9,15.6,31.6,46.7,51.5,36.5,30.8
"1997:Q2","Bottom50",4,7.9,15.3,23.1,1.4,4.6,2,5.3,31.5,24.8,53.6,17.6
"1997:Q3","Top1",28.1,24.9,10.8,13.6,48,10.1,50.1,30.6,5,5.1,1,22.8
"1997:Q3","Next9",34.1,31.8,26.6,21,34.7,37.5,32.4,32.3,17.3,18.9,9.3,32.4
"1997:Q3","Next40",33.8,35.5,47,42.4,15.9,47.9,15.4,31.8,46,50.6,36.4,30.3
"1997:Q3","Bottom50",4,7.8,15.6,23,1.4,4.6,2,5.3,31.7,25.4,53.4,14.6
"1997:Q4","Top1",28.1,24.9,10.7,13.5,47.7,9.9,49.8,30.9,5.1,5.1,1,23.3
"1997:Q4","Next9",34.3,31.9,27.2,21.1,34.7,37.7,32.6,31.9,17.3,19,9.3,31.5
"1997:Q4","Next40",33.6,35.4,46.6,42.5,16.2,47.8,15.6,32,46.7,51.4,36.7,31.7
"1997:Q4","Bottom50",4,7.8,15.5,22.9,1.4,4.6,2,5.3,31,24.5,53,13.5
"1998:Q1","Top1",28.8,25.6,10.6,13.8,48.6,10,51.4,30.1,4.9,4.9,0.6,23.3
"1998:Q1","Next9",34.2,32,27.4,20.5,34.3,37.8,32,32.6,18,19.4,10.3,32.3
"1998:Q1","Next40",33.2,34.8,46.5,42.7,15.7,47.7,14.7,32.1,45.6,50.4,35,32.6
"1998:Q1","Bottom50",3.9,7.6,15.6,23,1.4,4.5,1.9,5.2,31.4,25.2,54,11.8
"1998:Q2","Top1",28.7,25.5,10.9,13.5,48.4,10,50.7,30.4,5,4.9,0.7,23.5
"1998:Q2","Next9",34.3,32.1,27.4,20.7,34.2,38,32.3,32.7,18.1,19.5,10.3,33.6
"1998:Q2","Next40",33.3,35,46.9,42.9,16,47.6,15,31.8,45.8,50.5,35.5,33.2
"1998:Q2","Bottom50",3.7,7.4,14.9,22.9,1.4,4.5,2,5.1,31.2,25.1,53.5,9.7
"1998:Q3","Top1",27.9,24.7,10.7,11.9,46.8,9.7,47.7,32.9,5,4.7,1.2,24.9
"1998:Q3","Next9",34.2,32,27,22.5,34.7,38.1,33.3,31.3,18.2,20.2,9.5,32
"1998:Q3","Next40",34.3,35.7,47.3,43.1,17.1,47.8,16.8,30.8,44.4,48,36.3,34.9
"1998:Q3","Bottom50",3.6,7.6,15,22.5,1.4,4.4,2.3,5,32.4,27,53.1,8.2
"1998:Q4","Top1",28.7,25.5,11.1,13.9,47.8,9.7,52.1,30,4.9,4.9,0.6,24.1
"1998:Q4","Next9",34.2,32.1,27.4,20.2,34.3,38.3,31.3,32.7,18.1,19.7,10.5,32.6
"1998:Q4","Next40",33.5,35.1,46.8,42.9,16.5,47.7,14.8,32.2,45.7,50.1,35.9,33.8
"1998:Q4","Bottom50",3.6,7.3,14.7,23,1.4,4.3,1.8,5.1,31.2,25.3,53,9.4
"1999:Q1","Top1",28.4,25.2,11.2,14.6,47.4,9.6,52.7,29.1,5,5,0.4,24.1
"1999:Q1","Next9",34.4,32.2,27.2,19.7,34.5,38.5,31.2,33.5,18.2,19.5,10.9,33.8
"1999:Q1","Next40",33.5,35.2,46.6,42.9,16.7,47.6,14.3,32.3,45.7,50.5,35.2,32
"1999:Q1","Bottom50",3.7,7.4,14.9,22.9,1.4,4.3,1.8,5.1,31.1,25,53.5,10
"1999:Q2","Top1",28.6,25.4,11.3,15.5,47.7,9.6,53.9,27.7,4.9,5.2,0.1,22
"1999:Q2","Next9",34.6,32.4,27.5,18.7,34.4,38.7,30.8,34.4,18.3,19.2,11.2,37.5
"1999:Q2","Next40",33.1,34.9,46.3,42.7,16.5,47.4,13.7,32.8,46.4,51.6,35.1,30.1
"1999:Q2","Bottom50",3.8,7.4,14.9,23.1,1.4,4.3,1.6,5.2,30.4,24,53.6,10.3
"1999:Q3","Top1",28.2,25,11.4,15.1,46.9,9.5,52.3,28.7,5,5.1,0.4,22.2
"1999:Q3","Next9",34.5,32.3,27.3,19.3,34.8,38.7,31.7,33.4,18.3,19.3,10.5,38.4
"1999:Q3","Next40",33.5,35.2,46.2,42.7,17,47.4,14.4,32.7,45.9,50.8,35.9,28.8
"1999:Q3","Bottom50",3.8,7.5,15.1,23,1.4,4.3,1.6,5.2,30.9,24.8,53.2,10.6
"1999:Q4","Top1",29.2,25.9,11.6,16.4,48.2,9.5,54.9,26.7,4.7,5.1,0,19.1
"1999:Q4","Next9",34.2,32.1,27.5,17.6,34.4,39.1,30.8,32.7,19,19.6,11.3,43.8
"1999:Q4","Next40",33,34.7,46.1,42.6,16.1,47.1,12.9,35.1,45.2,50.2,35.6,26.9
"1999:Q4","Bottom50",3.6,7.3,14.9,23.4,1.3,4.3,1.4,5.5,31.1,25.2,53.1,10.2
"2000:Q1","Top1",29.3,26,11.7,16.7,48.4,9.5,54.6,26.1,4.5,4.9,0,15.8
