"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2001:Q3","NoHS",5,5,6.5,6.8,2.3,5.6,3.6,4.2,4.6,4.4,6.1,0.7
"2001:Q4","College",59.8,58.6,54.6,48.2,74.6,52.4,64,59.2,51.8,54,42.2,71.8
"2001:Q4","SomeCollege",18.3,18.9,19.4,21.3,13.8,22,18,18.7,22.8,21.8,26.1,20.6
"2001:Q4","HS",16.9,17.4,19.6,23.5,9.2,20.4,14.5,17,20.8,20,25.5,6.4
"2001:Q4","NoHS",5.1,5,6.5,7,2.4,5.2,3.5,5.1,4.6,4.2,6.2,1.2
"2002:Q1","College",60,58.8,54.9,48.3,74.7,52.7,64.6,59.6,52.2,54.4,42.4,72.2
"2002:Q1","SomeCollege",18.2,18.9,19.3,21.3,13.8,21.9,17.9,18.6,22.8,21.7,26.3,19.8
"2002:Q1","HS",16.7,17.3,19.4,23.4,9.2,20.3,14.2,16.8,20.5,19.7,25.2,6.7
"2002:Q1","NoHS",5.1,5,6.4,7,2.3,5.1,3.4,5.1,4.5,4.1,6.2,1.3
"2002:Q2","College",60.5,59.3,55.2,48.4,74.9,54,64.9,61,52.6,54.8,42.8,74
"2002:Q2","SomeCollege",17.9,18.6,19.3,21.5,13.8,20.5,17.3,18.7,22.4,21.6,25.3,17.5
"2002:Q2","HS",16.5,17.2,19.2,23.6,9.1,20.2,14.2,15.8,20.7,19.5,26.2,7
"2002:Q2","NoHS",5,4.9,6.3,6.5,2.2,5.3,3.6,4.5,4.3,4,5.8,1.4
"2002:Q3","College",60.8,59.5,55,48.5,75,55.5,65.2,62.8,52.7,54.8,43.2,76
"2002:Q3","SomeCollege",17.3,18.1,19.5,21.5,13.9,19,16.7,17.1,22.3,22,24.2,14.7
"2002:Q3","HS",16.7,17.4,19.1,23.8,9,20.2,14.3,15.7,20.7,19.1,27.3,7.5
"2002:Q3","NoHS",5.2,5,6.4,6.1,2.1,5.3,3.8,4.5,4.2,4,5.3,1.8
"2002:Q4","College",60.8,59.5,55.1,48.8,75.2,55.1,65,62.5,52.8,54.9,43.2,77
"2002:Q4","SomeCollege",17.4,18.2,19.5,21.4,13.8,19.6,17.2,16.6,22.6,22.3,24.5,13.6
"2002:Q4","HS",16.8,17.3,18.9,23.6,8.9,20.4,14.2,16.2,20.4,18.8,26.9,7.6
"2002:Q4","NoHS",5.1,5,6.5,6.2,2.1,4.9,3.6,4.8,4.2,4,5.4,1.8
"2003:Q1","College",61.1,59.8,55.6,48.9,75.8,55.7,65.4,62.9,53.1,55.1,43.4,76.8
"2003:Q1","SomeCollege",17.2,18.1,19.4,21.5,13.6,19.2,17.1,16.4,22.4,22.1,24.7,13.9
"2003:Q1","HS",16.5,17.1,18.5,23.5,8.6,20.2,13.9,16,20.4,18.9,26.7,7.4
"2003:Q1","NoHS",5.1,4.9,6.4,6,2,5,3.6,4.7,4.1,3.8,5.2,1.8
"2003:Q2","College",61.7,60.3,55.9,49.1,76.5,55.3,66.3,62.8,53.3,55.3,43.3,72.8
"2003:Q2","SomeCollege",17.3,18.2,19.4,21.5,13.2,20.1,17.2,16.8,22.8,22.2,25.4,19.8
"2003:Q2","HS",16.1,16.7,18.2,23.2,8.4,20,13.2,15.8,19.9,18.8,25.9,5.9
"2003:Q2","NoHS",4.9,4.8,6.4,6.2,1.9,4.6,3.3,4.6,4.1,3.8,5.4,1.5
"2003:Q3","College",61.8,60.5,56,49.3,77,55.3,66.3,62.7,53.4,55.5,43.4,74
"2003:Q3","SomeCollege",17.2,18.2,19.5,21.4,13,20.2,17.5,16.6,23,22.5,25.5,18.4
"2003:Q3","HS",16,16.6,18,23.1,8.2,20,13,16,19.4,18.2,25.8,6.3
"2003:Q3","NoHS",4.9,4.8,6.5,6.2,1.8,4.5,3.2,4.7,4.1,3.9,5.4,1.3
"2003:Q4","College",62.1,60.7,55.8,49.5,77.6,54.9,66.9,62.5,53.4,55.4,43.2,75.5
"2003:Q4","SomeCollege",17.3,18.3,19.7,21.3,12.6,21,17.7,16.3,23.1,22.7,26,14.4
"2003:Q4","HS",15.8,16.4,18,22.9,8,20,12.4,16.3,19.3,18.1,25.3,8
"2003:Q4","NoHS",4.7,4.6,6.5,6.4,1.8,4.1,3,4.9,4.1,3.8,5.5,2.1
"2004:Q1","College",62.6,61.2,56.3,49.6,78,55.2,67,63.1,53.5,55.5,43.3,75
"2004:Q1","SomeCollege",17.3,18.2,19.6,21.3,12.4,21,17.9,16.7,23.2,22.7,26.3,15.5
